mage,mmarital,meduc,mdegree,amsalary,amhsinc,amphyfn,amphylmt,amslfstm,ammaster,amspspt,amsphos,ammarstb,amsoccap,amclosef,amtang,ambelong,amappris,amfinpbm,amecnstt,amecnadj,wage,wmarital,weduc,wdegree,awsalary,awhsinc,awphyfn,awphylmt,awslfstm,awmaster,awspspt,awsphos,awmarstb,awsoccap,awclosef,awtang,awbelong,awappris,awfinpbm,awecnstt,awecnadj
41,2,13,3,64.8,90,2,1,33,21,18,20,6,13,12,15,15,12,5,21,4,35,2,13,3,51.6,90,1,1,39,29,21,12,4,7,13,16,14,15,6,21,5
48,2,12,3,200.004,320,0,0,42,29,25,8,5,21,20,14,16,13,6,22,5,48,2,12,4,48,132,4,4,34,20,18,12,5,6,13,9, ,5,9,27,2
 , , , , , , , , , , , , , , , , , , , ,0,44,3,12,2,42,38,2,1,35,20, , ,0,15, ,14,14,11, ,25,5
45,2,13,3,80.004,230,2,1,38,27,22,11,5,16,19,15,14,12,6,22,4,44,2,13,3,54,230,6,0,33,27,22,11,5,13,20,16,17,13,6,23,5
54,2,8,1,42,80,0,0, ,23,19,13,5,0,4,12,9,7,10,22,5,46,2,13,3,66,95,9,1,38,18,16,18,5,2,9,16,12,13,8,22,3
28,5,16,5,52.8,110,2,0,37,25, ,19,0,7,14,15,17,11,7,14,9,23,5,12,4,28.8,110,3,0,41,29,23,18,6,11,14,16,18,15,7,16,4
 , , , , , , , , , , , , , , , , , , , ,0,49,3,12,3,84,99,0,0,49,34, , ,0,13,13,17,20,15,11,25,4
45,2,13,3,72,130,1,3,43,30,22,13,5,12,14,13,14,11,12,28,10,40,2,15,3,51.6,130,2,2,29,30,18,15,5,15,15,13,12,8,11,28,6
27,2,12,2,72.576,80,2,0,34,23,20,15,7,6,9,13,14,11,11,25,4,22,2,12,3,57.6,80,4,0,29,17,11,17,11,16,12,16,13,13,12,29,7
45,2,16,3,74.736,158,2,0,37,25,16,17,5,7,19,15,15,11,10,23,14,45,2,20,5,82.14,157,9,2,41,33,22,14,5,20,21,20,20,16,8,21,13
 , , , , , , , , , , , , , , , , , , , ,0,60,1,13,3,0,32,3,0,38,25, , ,0,19, ,20,19,15,7,23,7
35,2,17,5,86.4,170,0,0,46,34,17,10,7,22,10,19,17,15,13,25,2,35,2,17,5,60,140,0,0,21,15,20,10,5,16,2,8,12,9,7,25,4
50,2,11,2,66,108,2,0,40,27,22,13,5,12,18,15,16,12,10,25,12,48,2,12,3,60,108,2,1,46,30,25,6,5,11,18,18,18,12,10,25,12
53,2,11,3,51.6,106,5,2,32,24,15,16,5,14,4,14,12,9,8,27,10,51,2,11,4,46.2,106,11,4,26,16,14,23,7,14,9,14,14,12,8,24,9
50,2,16,3,57.6,101,5,1,36,24, ,15,5,4,3,12,10,7,11,25,8,48,2,12,3,40.8,98,2,1, ,27,25,11,5,5,2,17,12,8,6,19,2
49,2,13,3,91.2,215,1,0,32,26, , ,0,11,17,15, ,14,5,12,0,47,2,15,3,62.4,112,0,0,32,26,14,20,7,18,15,20,18,15,9,20,6
47,2,12,2,74.4,136,3,1,34,28,23,6,5,13,16,14,14,10,8,26,6,41,2,13,4,45.6,136,2,0,33,28,23,5,5,8,15,14,14,10,8,25,6
31,2,12,2,48,77,5,4,28,14,16,14,10,7,15,17,16,12,12,23,11,27,2,12,4,0,78,1,4,36,23,20,16,9,16,14,18,16,14,12,26,13
41,2,13,3,120,130,3,0,37,26,22,12,5,12,15,16,16,12,11,21,6,40,2,13,3,54,135,1,0,35,20,22,11,5,18,14,17,16,15,10,20,6
 , , , , , , , , , , , , , , , , , , , ,0,49,3,11,3,0,30,5,0,31,22, , ,0,3,16,17,15,13,7,29,6
39,2,9,3,60,120,0,1,38,26,25,7,5,4,15,20,16,12,8,22,4,41,2,9,3,72,120,0,0,45,28,17,11,5,9,14,19,17,15,7,25,5
25,2,12,3,66.24,60,0,0,37,21,24,12,8,10,20,16,18,9,10,15,11,24,2,12,3,46.8,86,0,0,23,16,12,16,10,6,21,19,15,12,8,29,10
39,2,12,2,66,125,0,0,39,28,23,10,5,10,11,15,14,12,7,19,4,39,2,13,3,63.6,125,0,4,36,27,26,9,5,15,12,18,16,13,6,18,5
42,2,14,3,72,106,0,0,33,26,21,13,5,11,10,20,20,16,9,26,1,29,2,17,5,36,108,1,2,32,25,23,13,5,17,13,18,15,14,11,21,4
28,2,13,3,42,60,1,1,38,28,14,21,14,7,11,16,16,10,7,28,5,28,2,14,4,24,60,3,0,38,24,20,15,13,8,9,17,13,13,8,29,5
 , , , , , , , , , , , , , , , , , , , ,0,39,3,9,1,34.272,58,8,3,32,21, , ,0,3, ,19,15,11, ,25,10
 , , , , , , , , , , , , , , , , , , , ,0,80,1,11,3,0,0,6,0,32,22, , ,0,25, ,20,9,11,6,16,0
34,2,18,5,104.4,110,0,0,38,25,19,15,8,12,13,13,13,9,10,17,3,33,2,18,5,32.4,110,0,1,37,33,16,7,5,6,16,19,17,16,11,24,8
