"E_G22_1_19" "J"
"and" 9.47521865889213 11.0794297352342
"the" 5.83090379008746 7.45417515274949
"of" 3.79008746355685 4.80651731160896
"he" 1.45772594752187 2.11812627291242
"a" 2.1865889212828 1.30346232179226
"god" 1.89504373177843 1.34419551934827
"unto" 1.74927113702624 1.22199592668024
"his" 1.16618075801749 1.34419551934827
"in" 2.04081632653061 1.09979633401222
"to" 1.31195335276968 1.22199592668024
"was" 1.45772594752187 1.05906313645621
"said" 1.31195335276968 1.05906313645621
"thou" 0.145772594752187 1.38492871690428
"jehovah" 0.43731778425656 1.26272912423625
"it" 1.31195335276968 0.977596741344195
"that" 1.45772594752187 0.896130346232179
"begat" 0 1.26272912423625
"for" 1.16618075801749 0.855397148676171
"man" 0 1.18126272912424
"years" 0.145772594752187 1.14052953156823
"him" 1.45772594752187 0.65173116089613
"is" 0.728862973760933 0.855397148676171
"hundred" 0.145772594752187 0.977596741344195
"i" 1.02040816326531 0.733197556008147
"shall" 0.43731778425656 0.896130346232179
"thy" 0.728862973760933 0.773930753564155
"she" 1.45772594752187 0.488798370672098
"all" 0.43731778425656 0.733197556008147
"be" 0.87463556851312 0.610997963340122
"not" 0.583090379008746 0.692464358452138
"were" 0.145772594752187 0.733197556008147
"eat" 0.145772594752187 0.692464358452138
"lived" 0 0.692464358452138
"me" 1.02040816326531 0.407331975560081
"name" 0.145772594752187 0.65173116089613
"cain" 0 0.65173116089613
"had" 0.87463556851312 0.407331975560081
"son" 1.60349854227405 0.203665987780041
"ground" 0 0.610997963340122
"which" 0.291545189504373 0.529531568228106
"from" 0 0.570264765784114
"tree" 0 0.570264765784114
"called" 0.43731778425656 0.407331975560081
"days" 0.145772594752187 0.488798370672098
"garden" 0 0.529531568228106
"her" 1.31195335276968 0.162932790224033
"shalt" 0.145772594752187 0.488798370672098
"this" 1.02040816326531 0.244399185336049
"will" 1.16618075801749 0.203665987780041
"made" 0.291545189504373 0.407331975560081
"up" 1.02040816326531 0.203665987780041
"abraham" 1.60349854227405 0
"after" 0 0.44806517311609
"because" 0.583090379008746 0.285132382892057
"day" 0.145772594752187 0.407331975560081
"thee" 0.43731778425656 0.325865580448065
"woman" 0 0.44806517311609
"every" 0.145772594752187 0.366598778004073
"lamech" 0 0.407331975560081
"on" 0.87463556851312 0.162932790224033
"out" 0.291545189504373 0.325865580448065
"with" 0.728862973760933 0.203665987780041
"daughters" 0 0.366598778004073
"earth" 0.145772594752187 0.325865580448065
"enoch" 0 0.366598778004073
"five" 0 0.366598778004073
"good" 0.145772594752187 0.325865580448065
"my" 0.43731778425656 0.244399185336049
"sons" 0 0.366598778004073
"they" 0 0.366598778004073
"voice" 0.583090379008746 0.203665987780041
"wife" 0 0.366598778004073
"abel" 0 0.325865580448065
"adam" 0 0.325865580448065
"also" 0.145772594752187 0.285132382892057
"as" 0.583090379008746 0.162932790224033
"bare" 0.291545189504373 0.244399185336049
"brother" 0 0.325865580448065
"died" 0 0.325865580448065
"eight" 0.145772594752187 0.285132382892057
"field" 0 0.325865580448065
"one" 0.43731778425656 0.203665987780041
"s" 0.43731778425656 0.203665987780041
"sarah" 1.16618075801749 0
"there" 0.145772594752187 0.285132382892057
"took" 0.43731778425656 0.203665987780041
"ye" 0 0.325865580448065
"but" 0 0.285132382892057
"hast" 0 0.285132382892057
"hath" 0.291545189504373 0.203665987780041
"nine" 0 0.285132382892057
"put" 0.43731778425656 0.162932790224033
"seth" 0 0.285132382892057
"them" 0 0.285132382892057
"upon" 0.43731778425656 0.162932790224033
"when" 0.291545189504373 0.203665987780041
"eden" 0 0.244399185336049
"enosh" 0 0.244399185336049
"gave" 0.43731778425656 0.122199592668024
"have" 0.43731778425656 0.122199592668024
"isaac" 0.87463556851312 0
"life" 0 0.244399185336049
"sixty" 0 0.244399185336049
"thereof" 0 0.244399185336049
"art" 0 0.203665987780041
"created" 0 0.203665987780041
"did" 0.145772594752187 0.162932790224033
"jared" 0 0.203665987780041
"kenan" 0 0.203665987780041
"lad" 0.728862973760933 0
"mahalalel" 0 0.203665987780041
"methuselah" 0 0.203665987780041
"old" 0.583090379008746 0.0407331975560081
"seed" 0.291545189504373 0.122199592668024
"serpent" 0 0.203665987780041
"set" 0.728862973760933 0
"seven" 0 0.203665987780041
"taken" 0 0.203665987780041
"two" 0 0.203665987780041
"water" 0.583090379008746 0.0407331975560081
"went" 0.291545189504373 0.122199592668024
"beast" 0 0.162932790224033
"behold" 0.291545189504373 0.0814663951120163
"born" 0.291545189504373 0.0814663951120163
"brought" 0 0.162932790224033
"child" 0.583090379008746 0
"commanded" 0.145772594752187 0.122199592668024
"cursed" 0 0.162932790224033
"dust" 0 0.162932790224033
"evil" 0 0.162932790224033
"eyes" 0.145772594752187 0.122199592668024
"face" 0 0.162932790224033
"father" 0.145772594752187 0.122199592668024
"flesh" 0 0.162932790224033
"forth" 0 0.162932790224033
"fruit" 0 0.162932790224033
"genesis" 0 0.162932790224033
"give" 0.583090379008746 0
"hagar" 0.583090379008746 0
"handmaid" 0.583090379008746 0
"heard" 0.291545189504373 0.0814663951120163
"heaven" 0.43731778425656 0.0407331975560081
"heavens" 0 0.162932790224033
"if" 0.145772594752187 0.122199592668024
"knew" 0 0.162932790224033
"land" 0 0.162932790224033
"make" 0.291545189504373 0.0814663951120163
"naked" 0 0.162932790224033
"noah" 0 0.162932790224033
"now" 0 0.162932790224033
"opened" 0.145772594752187 0.122199592668024
"over" 0.291545189504373 0.0814663951120163
"place" 0.583090379008746 0
"river" 0 0.162932790224033
"saying" 0.145772594752187 0.122199592668024
"way" 0.291545189504373 0.0814663951120163
"what" 0.145772594752187 0.122199592668024
"where" 0.145772594752187 0.122199592668024
"whom" 0.291545189504373 0.0814663951120163
"work" 0 0.162932790224033
"adah" 0 0.122199592668024
"again" 0.145772594752187 0.0814663951120163
"against" 0.291545189504373 0.0407331975560081
"any" 0 0.122199592668024
"at" 0.145772594752187 0.0814663951120163
"bottle" 0.43731778425656 0
"bread" 0.291545189504373 0.0407331975560081
"cattle" 0 0.122199592668024
"conceived" 0.145772594752187 0.0814663951120163
"die" 0 0.122199592668024
"done" 0 0.122199592668024
"eighty" 0 0.122199592668024
"formed" 0 0.122199592668024
"g" 0.43731778425656 0
