"e" "j" "x"
"and" 10.6609808102345 16.452442159383 7.22713864306785
"the" 9.3816631130064 8.22622107969152 7.22713864306785
"of" 3.19829424307036 4.37017994858612 5.01474926253687
"he" 0.852878464818763 2.31362467866324 0.589970501474926
"a" 1.70575692963753 1.79948586118252 0.737463126843658
"god" 0.639658848614073 0.51413881748072 0
"unto" 1.06609808102345 1.02827763496144 2.06489675516224
"his" 0.852878464818763 2.5706940874036 0.294985250737463
"in" 0.213219616204691 0.77120822622108 1.17994100294985
"to" 2.13219616204691 0.51413881748072 1.62241887905605
"was" 0.426439232409382 1.54241645244216 0.589970501474926
"said" 1.70575692963753 0.77120822622108 0.589970501474926
"thou" 0 0.51413881748072 0
"jehovah" 0 0.77120822622108 2.21238938053097
"it" 1.91897654584222 0.51413881748072 0
"that" 0.852878464818763 0.51413881748072 1.03244837758112
"begat" 0 0.77120822622108 0
"for" 1.06609808102345 0 1.76991150442478
"man" 0.213219616204691 0 0.442477876106195
"years" 0 0.51413881748072 0.294985250737463
"him" 1.91897654584222 0.51413881748072 0.442477876106195
"is" 0.426439232409382 0.77120822622108 0.589970501474926
"hundred" 0 0.51413881748072 0
"i" 0.639658848614073 0 0.294985250737463
"shall" 1.06609808102345 0.25706940874036 1.03244837758112
"thy" 0.213219616204691 0 0.737463126843658
"she" 2.55863539445629 0 0
"all" 0.213219616204691 0.25706940874036 0.442477876106195
"be" 0.639658848614073 1.79948586118252 0.884955752212389
"not" 0.639658848614073 0.25706940874036 0.884955752212389
"were" 0 1.2853470437018 0
"eat" 0 0 0
"lived" 0 0.25706940874036 0
"me" 0.213219616204691 0 0.147492625368732
"name" 0.639658848614073 0 0
"cain" 0 0 0
"had" 0.213219616204691 0.25706940874036 0.442477876106195
"son" 0.852878464818763 0.25706940874036 0.294985250737463
"ground" 0 0 0
"which" 0 0 0.737463126843658
"from" 0 0.77120822622108 0.737463126843658
"tree" 0 0 0
"called" 0.639658848614073 0 0
"days" 0 0.25706940874036 0
"garden" 0 0 0
"her" 1.06609808102345 0 0
"shalt" 0 0 0
"this" 0.639658848614073 0 0.737463126843658
"will" 0.213219616204691 0 1.91740412979351
"made" 0.213219616204691 0 0.147492625368732
"up" 0 0 0.442477876106195
"abraham" 0 0 0.147492625368732
"after" 0 0.25706940874036 0.147492625368732
"because" 0.639658848614073 0 0.589970501474926
"day" 0 0 0.147492625368732
"thee" 0.639658848614073 0 0
"woman" 0.426439232409382 0 0
"every" 0.426439232409382 0 0.442477876106195
"lamech" 0 0 0
"on" 0.213219616204691 0 0.294985250737463
"out" 0.213219616204691 0.25706940874036 0.589970501474926
"with" 0.639658848614073 0 0.147492625368732
"daughters" 0 0 0
"earth" 0 0.51413881748072 0
"enoch" 0 0 0
"five" 0 0 0
"good" 0 0 0
"my" 0 0 0.294985250737463
"sons" 0 0.51413881748072 0
"they" 0.213219616204691 0.25706940874036 1.17994100294985
"voice" 0 0 0
"wife" 0.213219616204691 0 0
"abel" 0 0 0
"adam" 0 0 0
"also" 0 0 0
"as" 0.426439232409382 0.51413881748072 0.294985250737463
"bare" 0.213219616204691 0 0
"brother" 0 0 0
"died" 0 0.25706940874036 0
"eight" 0 0 0
"field" 0 0 0
"one" 0.426439232409382 0.25706940874036 0
"s" 1.27931769722815 0.25706940874036 0.294985250737463
"sarah" 0 0 0
"there" 0.213219616204691 0 0.147492625368732
"took" 0.639658848614073 0.25706940874036 0
"ye" 1.06609808102345 0 1.47492625368732
"but" 0.639658848614073 0 0.442477876106195
"hast" 0 0 0
"hath" 0 0 0.442477876106195
"nine" 0 0.25706940874036 0
"put" 0.213219616204691 0 0
"seth" 0 0 0
"them" 1.06609808102345 0 1.17994100294985
"upon" 0.213219616204691 0.25706940874036 0
"when" 0.639658848614073 0 0.442477876106195
"eden" 0 0 0
"enosh" 0 0 0
"gave" 0 0 0
